host_ip,n_connections,n_unique_dsts,n_unique_dst_ports,total_bytes_sent,avg_bytes_sent,std_bytes_sent,total_bytes_received,avg_bytes_received,bytes_ratio,total_packets_sent,avg_packets_sent,total_packets_received,packets_ratio,avg_duration,std_duration,max_duration,min_duration,proto_entropy,tcp_ratio,udp_ratio,icmp_ratio,dst_entropy,port_entropy,n_unique_services,service_entropy,state_entropy,rst_ratio,fin_ratio,established_ratio,avg_sttl,std_sttl,avg_dttl,avg_sload,max_sload,avg_dload,total_sloss,loss_ratio,avg_sjit,conns_per_dst,bytes_per_conn,attack_ratio,primary_attack_cat,cluster
10.40.170.2,184,1,2,8602,46.75,5.841485326496347,0,0.0,1.0,187,1.016304347826087,0,1.0,0.9782084402173913,7.618920340480904,59.999935,0.0,0.0,0.0,0.0,0.0,0.0,0.996929708080541,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000535869565218,6.133998,0.0,0,0.0,4.37647,184.0,46.75,0.0,Normal,4
10.40.182.1,383,3,3,88844,231.9686684073107,160.47377192704877,19136,49.96344647519582,4.642767558528428,1622,4.234986945169712,416,3.8990384615384617,51.00263730287207,448.1246088932344,8786.637695,0.0,1.0196872587831634,0.0,0.0026109660574412533,0.0,1.0196872587831634,1.0235364416603563,1,0.0,1.0980486359093895,0.0,0.0,0.4621409921671018,0.7023498694516971,3.280941269741173,0.0,30.45817882767624,107.200508,4.999820866840731,0,0.0,50.588946020887725,127.66666666666667,281.93211488250654,0.0,Normal,3
10.40.182.3,213,1,2,10212,47.943661971830984,9.275480952708916,0,0.0,1.0,222,1.0422535211267605,0,1.0,2.5348497323943664,12.096728370373395,59.999989,0.0,0.0,0.0,0.0,0.0,0.0,0.9996024742757982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591919014084507,6.137235,0.0,0,0.0,3.8182941267605632,213.0,47.943661971830984,0.0,Normal,4
10.40.182.6,350,2,2,175136,500.3885714285714,34.496424559784785,0,0.0,1.0,698,1.9942857142857142,0,1.0,8.491428571428572e-05,2.7556008532112532e-05,0.000143,0.0,0.050798721674164604,0.0,0.9942857142857143,0.0,0.050798721674164604,0.050798721674164604,1,0.0,0.0,0.0,0.0,0.0,63.63428571428572,4.831009128722596,0.0,26751468.062857144,74666664.0,0.0,0,0.0,0.0,175.0,500.3885714285714,0.0,Normal,4
10.40.85.1,392,5,3,98128,250.3265306122449,303.98616961103147,16836,42.94897959183673,5.828462817771442,1732,4.418367346938775,366,4.73224043715847,48.576351288265315,441.7359297931601,8760.776367,0.0,1.086946362399574,0.0,0.0,0.015306122448979591,1.1092802590887665,1.0217403702346644,1,0.0,1.21493244539467,0.0,0.0,0.42857142857142855,1.5357142857142858,7.813278094244767,0.0,111.06196580867346,19096.44531,4.566582392857143,0,0.0,239.11357936989796,78.4,293.2755102040816,0.0,Normal,3
10.40.85.10,68,3,4,12988,191.0,111.17741636882808,672,9.882352941176471,19.327380952380953,186,2.735294117647059,24,7.75,5.2224594264705875,9.989651461721156,52.133259,1e-06,1.770560484835425,0.04411764705882353,0.3382352941176471,0.3382352941176471,1.573286658656107,1.770560484835425,2,0.9231199835423004,1.770560484835425,0.0,0.0,0.6176470588235294,45.39705882352941,28.478921089891195,0.0,43798408.8782918,672000000.0,0.48671274999999997,21,0.11290322580645161,984.4866266029412,22.666666666666668,200.88235294117646,0.0,Normal,6
10.40.85.30,194,1,2,35144,181.15463917525773,15.266435265773513,21392,110.26804123711341,1.6428571428571428,764,3.9381443298969074,764,1.0,25.249933,12.083898408892315,31.089989,0.0,0.0,0.0,0.0,0.0,0.0,0.988931806246975,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,266064.81704871135,19368422.0,161952.49677370104,0,0.0,15454.694721649485,194.0,291.4226804123711,0.0,Normal,4
149.171.126.0,26,10,26,1089617,41908.346153846156,160878.14340573238,69732,2682.0,15.625781563701027,1018,39.15384615384615,622,1.6366559485530547,0.38031903846153853,0.6439515602436867,2.586688,0.0,0.2351933818192415,0.9615384615384616,0.038461538461538464,0.0,3.074875775583769,4.7004397181410935,1,0.0,0.9293550115186284,0.0,0.7692307692307693,0.19230769230769232,29.076923076923077,0.271746488194703,28.73076923076923,12779695.206917308,216000000.0,425761.908845577,372,0.3654223968565815,248.11106957692306,2.6,44590.346153846156,0.0,Normal,2
149.171.126.1,31,10,31,2981183,96167.19354838709,259378.85652746374,102868,3318.3225806451615,28.98066454096512,2641,85.19354838709677,1564,1.688618925831202,0.6749229032258064,1.822265300123162,9.257932,0.0,0.45868581620054033,0.9032258064516129,0.0967741935483871,0.0,3.042547119133971,4.954196310386876,1,0.0,1.1357395969510382,0.0,0.7096774193548387,0.1935483870967742,29.161290322580644,0.3738782505529831,28.032258064516128,20981391.2999941,266666656.0,325152.4686221935,1081,0.40931465354032565,440.5936142903226,3.1,99485.51612903226,0.0,Normal,2
149.171.126.10,3002,1,1,792528,264.0,0.0,0,0.0,1.0,6004,2.0,0,1.0,5.8654230512991336e-06,4.4284692454190545e-06,6.3e-05,1e-06,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,274410868.59626913,1056000000.0,0.0,0,0.0,0.0,3002.0,264.0,0.0,Normal,4
